indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,402,169.1,151.95,187.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,151.67,144.02,121.04,169.96,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,1086,299.7,281.07,319.2,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2003,2002/03 to 2004/05 financial years; 3-year aggregates,442,229.5,206.49,254.2,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2004,2003/04 to 2005/06 financial years; 3-year aggregates,6365,184.14,179.39,188.98,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,541.67,198.84,181.53,217.3,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,138.33,159.27,132.74,189.36,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,214,174.63,151.08,200.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,345.67,188.67,168.05,211.01,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,486,141.64,128.68,155.5,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,333,149.22,132.72,167.12,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,864.67,174.99,162.94,187.66,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,14,100.02,52.82,170.53,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,13.67,100.15,50.1,175.3,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,32.67,167.42,111.58,239.97,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,399,165.49,148.71,183.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,471.33,159.61,144.86,175.4,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,1690.33,229.32,217.82,241.24,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2004,2003/04 to 2005/06 financial years; 3-year aggregates,820.67,204.08,189.29,219.65,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,68,226.79,171.22,293.37,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,214,174.63,151.08,200.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,196.33,236.68,202.55,274.63,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,107.67,165.62,134.25,201.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,64.67,102.7,78.07,132.33,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,32.67,167.42,111.58,239.97,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Falkirk,S12000014,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,184,196.3,166.85,229.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Highland,S12000017,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,225,148.71,128.72,170.77,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Inverclyde,S12000018,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,120,199.13,163.19,240.3,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Midlothian,S12000019,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,119.67,233.38,190.12,282.94,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Moray,S12000020,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,81,132.89,104.03,166.95,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Ayrshire,S12000021,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,197,201.92,173.01,234.05,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Orkney Islands,S12000023,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,14,100.02,52.82,170.53,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scottish Borders,S12000026,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,138.33,159.27,132.74,189.36,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Shetland Islands,S12000027,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,13.67,100.15,50.1,175.3,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Ayrshire,S12000028,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,148.33,161.51,135.55,190.83,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Lanarkshire,S12000029,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,387.33,187.81,168.43,208.72,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Stirling,S12000030,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,93.67,158.03,126.47,194.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeen City,S12000033,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,229.67,169.49,147.24,194.03,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeenshire,S12000034,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,175.33,120.41,102.3,140.67,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Argyll & Bute,S12000035,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,108,150.21,121.88,182.9,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,City of Edinburgh,S12000036,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,464,161.57,146.59,177.62,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Renfrewshire,S12000038,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,205,183.82,157.17,213.37,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Dunbartonshire,S12000039,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,143,228.3,190,271.66,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Lothian,S12000040,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,173.33,191.19,161.47,224.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Angus,S12000041,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,111.67,133.14,108.37,161.65,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dundee City,S12000042,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,205.33,197.5,169.97,228.04,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Dunbartonshire,S12000045,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,94.67,128.7,101.96,159.85,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,399,165.49,148.71,183.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,154.33,144.19,121.47,169.8,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,1063,294.44,275.95,313.78,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2004,2003/04 to 2005/06 financial years; 3-year aggregates,433.33,221.08,198.81,244.99,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2005,2004/05 to 2006/07 financial years; 3-year aggregates,6322.33,180.7,176.03,185.45,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,522,189.78,173.04,207.64,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,142,159.31,133.16,188.94,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,200,162.76,139.85,188.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,355.33,191.62,171.08,213.85,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,485.33,137.77,125.25,151.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,336.67,147.5,131.33,165.02,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,875.67,176.02,163.95,188.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,17.67,121.18,69.07,195.65,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,13.33,83.33,43.62,143.25,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,35,181.04,121.59,257.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,400,161.69,145.36,179.27,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,476,160.78,146,176.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,1641.67,221.51,210.28,233.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2005,2004/05 to 2006/07 financial years; 3-year aggregates,821.67,201.7,187.13,217.03,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,63,209.51,156.99,272.88,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,200,162.76,139.85,188.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,187.67,226.51,193.23,263.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,106.33,157.72,127.95,192.11,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,68,107.87,82.25,138.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,35,181.04,121.59,257.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Falkirk,S12000014,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,195,204.73,175.07,237.71,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Highland,S12000017,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,231.33,149.96,130.07,171.89,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Inverclyde,S12000018,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,119.67,196.3,160.99,236.76,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Midlothian,S12000019,Council area,2005,2004/05 to 2006/07 financial years; 3-year aggregates,118,231.52,188.04,281.39,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
